policy,mechanism_stage,status,expected_profit,var_loss,cvar_loss,worst_decile_profit,budget_usage,acreage_usage,cvar_violation,budget_violation,acreage_violation,lower_bound_violation,upper_bound_violation,rotation_violation,contract_violation,acres_Corn,acres_Soybean,acres_Winter Wheat,selected_reversal,cell_id,replication_seed,scenario_sha256,copula_family,marginal_family,kendall_tau,alpha,risk_limit
mean_variance,variance_penalty,optimal,369.3464409986848,-166.5329031409208,-157.94779276628668,157.98298326374984,326.9072302182271,1.000000000014797,False,False,False,False,False,False,False,0.44349315170884984,0.5408056958357089,0.01570115247023828,True,LHS-01-018,2026071902,99e16141131682a13f8ed437d60ef5018edb74c572ccf922694c8315e4a79476,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.22562642452513
loss_CVaR,economic_operational_plus_CVaR,optimal,369.3464409937033,-166.53290313859557,-157.94779276415267,157.98298326161503,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071902,99e16141131682a13f8ed437d60ef5018edb74c572ccf922694c8315e4a79476,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.22562642452513
ranking_proportional_repaired,ranking,repaired,337.196339475227,-152.44571448495915,-143.44522208482005,143.4821152394975,310.75119901298854,1.0,True,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-018,2026071903,614af6daf906c2573c3049dcf5350efa8e65c28a8fbede015b6fc96b447b8e3b,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.70756879471426
expected_profit,economic_plus_operational,optimal,370.1069379743394,-167.2702274656762,-158.4786431152124,158.5146799526299,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071903,614af6daf906c2573c3049dcf5350efa8e65c28a8fbede015b6fc96b447b8e3b,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.70756879471426
mean_variance,variance_penalty,optimal,370.1069379762438,-167.27022746652253,-158.47864311602711,158.51467995344473,326.90723021537934,1.0000000000056446,False,False,False,False,False,False,False,0.4434931517049447,0.5408056958318899,0.01570115246880989,True,LHS-01-018,2026071903,614af6daf906c2573c3049dcf5350efa8e65c28a8fbede015b6fc96b447b8e3b,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.70756879471426
loss_CVaR,economic_operational_plus_CVaR,optimal,370.1069379743394,-167.2702274656762,-158.4786431152124,158.5146799526299,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071903,614af6daf906c2573c3049dcf5350efa8e65c28a8fbede015b6fc96b447b8e3b,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.70756879471426
ranking_proportional_repaired,ranking,repaired,333.0789331787289,-151.24731686897348,-143.3221613688006,143.3546467012371,310.75119901298854,1.0,True,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-018,2026071904,4991ccd19b484b0ddcc033745a689b675a14aae4a71f7064058d94905e2f08c3,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.43813474243842
expected_profit,economic_plus_operational,optimal,365.66066531588484,-165.47572730221282,-158.18966214090835,158.2195278323656,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071904,4991ccd19b484b0ddcc033745a689b675a14aae4a71f7064058d94905e2f08c3,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.43813474243842
mean_variance,variance_penalty,optimal,365.66066531588484,-165.47572730221282,-158.18966214090835,158.2195278323656,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071904,4991ccd19b484b0ddcc033745a689b675a14aae4a71f7064058d94905e2f08c3,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.43813474243842
loss_CVaR,economic_operational_plus_CVaR,optimal,365.66066531588484,-165.47572730221282,-158.18966214090835,158.2195278323656,326.9072302136307,1.0,False,False,False,False,False,False,False,0.4434931517025752,0.5408056958294976,0.01570115246792721,True,LHS-01-018,2026071904,4991ccd19b484b0ddcc033745a689b675a14aae4a71f7064058d94905e2f08c3,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.43813474243842
ranking_proportional_repaired,ranking,repaired,335.9691689309382,-151.5025130259138,-143.18635713919775,143.2204451881411,310.75119901298854,1.0,True,False,False,False,False,False,False,0.4252761109743977,0.41731036270383504,0.15741352632176728,False,LHS-01-018,2026071905,c5ab661da32039adf926e13b0287f7079d2dc460eca76be4910f610085c4202d,gaussian,empirical_resample,0.3704884149284229,0.9766959169544367,-156.4106944945135
