cell_id,replications,optimal_replications,selected_reversal_probability,selected_reversal_wilson_low,selected_reversal_wilson_high,selected_reversal_wilson_width,possible_reversal_probability,universal_reversal_probability,pseudo_diversification_probability,expected_profit_mean,expected_profit_mcse,expected_profit_replication_min,expected_profit_replication_max,cvar_loss_mean,cvar_loss_mcse,cvar_loss_replication_min,cvar_loss_replication_max,allocation_Corn_mean,allocation_Corn_mcse,allocation_Corn_replication_min,allocation_Corn_replication_max,allocation_Soybean_mean,allocation_Soybean_mcse,allocation_Soybean_replication_min,allocation_Soybean_replication_max,allocation_Winter Wheat_mean,allocation_Winter Wheat_mcse,allocation_Winter Wheat_replication_min,allocation_Winter Wheat_replication_max,cell_type,copula_family,marginal_family,kendall_tau,alpha,risk_limit_frontier_quantile,budget_to_max_cost_ratio,dominant_crop_cap_share,contract_minimum_share
LHS-02-003,5,5,1,0.5655175352,1,0.4344824648,1,1,0,369.3320716,0.7657730162,366.3412776,370.5247962,-125.9129008,0.6348025219,-127.9824223,-124.4006705,0.3866715235,0,0.3866715235,0.3866715235,0.5983196891,0,0.5983196891,0.5983196891,0.01500878745,0,0.01500878745,0.01500878745,lhs,student_t_df4,gaussian,0.3831595421,0.9406248586,0.2321100145,0.8093399908,0.3866715235,0.01500878745
LHS-02-004,5,5,0,0,0.4344824648,0.4344824648,0,0,0,371.509378,0.5876004368,369.900567,373.0515155,-72.57332727,3.092819516,-83.17397698,-66.01708951,0.6720384109,0.002922982406,0.6679212792,0.6835073215,0.3172741107,0.002922982406,0.3058052001,0.3213912424,0.01068747838,0,0.01068747838,0.01068747838,lhs,student_t_df4,student_t_df5,0.1176772091,0.9580076156,0.3647393122,0.9452371486,0.9455733161,0.01068747838
LHS-02-005,5,5,0,0,0.4344824648,0.4344824648,0,0,0,349.6641654,0.704704621,346.983052,351.0653796,-138.2111737,0.1155801446,-138.4463694,-137.7875093,0.5090444295,0,0.5090444295,0.5090444295,0.3908040067,0,0.3908040067,0.3908040067,0.1001515638,0,0.1001515638,0.1001515638,lhs,student_t_df4,empirical_resample,0.5059239393,0.98439287,0.7406686478,0.7649172508,0.5090444295,0.1001515638
LHS-02-006,5,5,1,0.5655175352,1,0.4344824648,1,1,0,356.8412863,0.6569904508,354.407183,358.1548727,-156.2155939,0.9381709078,-158.9188587,-153.8866059,0.4018037516,0,0.4018037516,0.4018037516,0.5308599579,0,0.5308599579,0.5308599579,0.06733629049,0,0.06733629049,0.06733629049,lhs,student_t_df4,gaussian,0.2792217142,0.902973614,0.8050484058,0.7231448468,0.6130463185,0.06733629049
LHS-02-007,5,5,0,0,0.4344824648,0.4344824648,0,0,0,342.4767898,0.6651120587,340.0084383,343.8213592,-49.58221584,2.017799803,-53.36398638,-41.86810754,0.5986676218,0.0005654319878,0.597761701,0.6008936231,0.2627960941,0.0005654319878,0.2605700929,0.263702015,0.138536284,0,0.138536284,0.138536284,lhs,student_t_df4,student_t_df5,0.4512037971,0.9520457676,0.4506585683,0.9550104721,0.7574762892,0.138536284
LHS-02-008,5,5,1,0.5655175352,1,0.4344824648,1,1,1,365.3390554,0.5009794722,363.4589035,366.1498951,-202.6204239,0.3873880164,-203.4095012,-201.2237826,0.4275160786,0,0.4275160786,0.4275160786,0.5451395993,0,0.5451395993,0.5451395993,0.02734432212,1.734723476e-18,0.02734432212,0.02734432212,lhs,student_t_df4,empirical_resample,0.0343382567,0.9172742204,0.8804440738,0.8419689622,0.4275160786,0.02734432212
LHS-02-009,5,5,0,0,0.4344824648,0.4344824648,0,0,0,356.3419772,0.6656235504,353.8139873,357.6892428,-133.645901,0.644106326,-136.0693389,-132.5252607,0.5793073532,0.0004249473978,0.5782590865,0.5807725718,0.3430695858,0.0004249473978,0.3416043673,0.3441178525,0.07762306097,0,0.07762306097,0.07762306097,lhs,student_t_df4,gaussian,0.1939296389,0.9225766175,0.4168054786,1.029774043,0.6588751465,0.07762306097
LHS-02-010,5,5,1,0.5655175352,1,0.4344824648,1,1,0,350.410118,0.5201159708,348.3895472,351.1299221,-101.0429025,2.259523265,-108.4877656,-94.62336884,0.3691542565,0,0.3691542565,0.3691542565,0.5343285452,0,0.5343285452,0.5343285452,0.09651719833,0,0.09651719833,0.09651719833,lhs,student_t_df4,student_t_df5,0.09360136271,0.9693117699,0.5381968515,0.7027858101,0.9548473134,0.09651719833
LHS-02-011,5,5,1,0.5655175352,1,0.4344824648,1,1,0,346.6499521,0.6579814385,344.1453017,347.9378786,-153.6132651,0.1988329083,-154.2617196,-153.0368096,0.352566784,0,0.352566784,0.352566784,0.5398716338,0,0.5398716338,0.5398716338,0.1075615822,0,0.1075615822,0.1075615822,lhs,student_t_df4,empirical_resample,0.4226836012,0.9634893742,0.1239663138,1.049043564,0.352566784,0.1075615822
LHS-02-012,5,5,0,0,0.4344824648,0.4344824648,0,0,0,364.1025066,0.8159082875,361.3993792,366.3295328,-103.4872865,1.172870507,-107.3708056,-100.3063169,0.7507426869,0.0006391261509,0.7487801613,0.7527550314,0.2027330394,0.0006391261509,0.2007206949,0.204695565,0.04652427369,0,0.04652427369,0.04652427369,lhs,student_t_df4,gaussian,0.4299604474,0.9091324522,0.6548054367,0.9180339153,0.9106270451,0.04652427369
