design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-STRONGLY_BINDING-VS-SLACK,cvar_loss,16,16,-72.44889835579139,-108.61808765362062,-36.27970905796216,36.16918929782923,72.33837859565845,12.0,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-STRONGLY_BINDING-VS-SLACK,selected_reversal_change,16,16,1.0,0.6227891839749218,1.0,0.1886054080125391,0.3772108160250782,0.38,True,True,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-BINDING_MID-VS-SLACK,allocation_l1,16,16,0.4081774361101094,0.2426785856457816,0.5736762865744373,0.16549885046432783,0.33099770092865566,0.08,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-BINDING_MID-VS-SLACK,cvar_loss,16,16,-47.029262624840655,-71.43044535384847,-22.628079895832844,24.40118272900781,48.80236545801562,12.0,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-BINDING_MID-VS-SLACK,selected_reversal_change,16,16,0.25,0.062132492985339405,0.6264729150271997,0.28217021102093015,0.5643404220418603,0.38,False,True,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,allocation_l1,16,16,0.03676879210878976,0.021320747173662728,0.0522168370439168,0.015448044935127036,0.030896089870254072,0.08,True,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,cvar_loss,16,16,-4.702926262484079,-7.143044535384847,-2.2628079895833095,2.440118272900769,4.880236545801538,12.0,True,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,selected_reversal_change,16,16,0.25,0.062132492985339405,0.6264729150271997,0.28217021102093015,0.5643404220418603,0.38,False,True,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-STRONGLY_BINDING-VS-SLACK,allocation_l1,16,16,0.9927023333812889,0.5739152153152508,1.411489451447327,0.4187871180660381,0.8375742361320762,0.08,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-STRONGLY_BINDING-VS-SLACK,cvar_loss,16,16,-89.35559898719724,-135.71784617231208,-42.99335180208241,46.36224718511483,92.72449437022966,12.0,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-STRONGLY_BINDING-VS-SLACK,selected_reversal_change,16,16,0.9375,0.5503509111128602,0.9945896248651964,0.22211935687616813,0.44423871375233626,0.38,False,True,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-BINDING_MID-VS-SLACK,allocation_l1,16,16,0.5952007340432703,0.17001321052838064,1.02038825755816,0.4251875235148897,0.8503750470297794,0.08,False,False,0.95,27,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-BINDING_MID-VS-SLACK,cvar_loss,16,16,-79.90169644314543,-126.29561117309888,-33.507781713191974,46.39391472995345,92.7878294599069,12.0,False,False,0.95,27,False,CONTINUE,False
