design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass,evidence_status
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-JUST_BINDING-VS-SLACK,cvar_loss,64,64,-3.8159810784573676,-4.545135703242572,-3.0868264536721632,0.7291546247852043,1.4583092495704086,12.0,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-JUST_BINDING-VS-SLACK,selected_reversal_change,64,64,0.203125,0.09113423842105967,0.39319812653408703,0.15103194405651368,0.30206388811302737,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-STRONGLY_BINDING-VS-SLACK,allocation_l1,64,64,1.0242182886822762,0.880974036815064,1.1674625405494883,0.1432442518672121,0.2864885037344242,0.08,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-STRONGLY_BINDING-VS-SLACK,cvar_loss,64,64,-72.50364049069074,-86.3575783616096,-58.64970261977189,13.853937870918854,27.707875741837707,12.0,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.90-STRONGLY_BINDING-VS-SLACK,selected_reversal_change,64,64,0.984375,0.8427004225887751,0.9986520345896697,0.07797580600044729,0.15595161200089458,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-BINDING_MID-VS-SLACK,allocation_l1,64,64,0.4228099920329811,0.3574961915448145,0.4881237925211477,0.0653138004881666,0.1306276009763332,0.08,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-BINDING_MID-VS-SLACK,cvar_loss,64,64,-47.863078559150225,-57.42291292144209,-38.30324419685836,9.559834362291868,19.119668724583736,12.0,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-BINDING_MID-VS-SLACK,selected_reversal_change,64,64,0.203125,0.09113423842105967,0.39319812653408703,0.15103194405651368,0.30206388811302737,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,allocation_l1,64,64,0.03835241730353624,0.032190111111783895,0.04451472349528858,0.006162306191752344,0.012324612383504688,0.08,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,cvar_loss,64,64,-4.786307855915069,-5.74229129214426,-3.830324419685879,0.9559834362291906,1.9119668724583812,12.0,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,selected_reversal_change,64,64,0.203125,0.09113423842105967,0.39319812653408703,0.15103194405651368,0.30206388811302737,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED
